Country,OrganizationName,Years,Number of Employees
Singapore,THE FIFTH COLLECTION,9,1-50
Singapore,Charles And Keith,26,501-1000
Singapore,Villa Finder,10,1-50
Singapore,StreetDeal,12,51-100
Singapore,Royalking Jewellery,35,101-250
Singapore,Royalking Jewellery,35,101-250
Singapore,Presidium Instruments,43,1-50
Singapore,Moneymax Fin,14,101-250
Singapore,SK Jewellery Group,31,51-100
Singapore,Norbreeze Group,18,101-250
Singapore,TAKA Jewellery,21,1-50
Singapore,By Invite Only,13,1-50
Singapore,Luxiee,3,1-50
Singapore,SGDX Singapore Diamond Exchange,2,1-50
Singapore,Maxi-Cash Fin,14,1-50
Singapore,GoldEx Robot,14,1-50
Singapore,GoldSilver Central,11,1-50
Singapore,RISIS,46,51-100
Singapore,Far East Gems & Jewellery,31,1-50
Singapore,Choo Yilin,13,1-50
Singapore,Gem By Gems,15,1-50
Singapore,Imperial Harvest,8,18568
China,Zhou Liu Fu,18,501-1000
China,Cemni,25,1001-5000
China,BLOVES,14,101-250
China,Yaok Group,14,101-250
China,Yiqidai,6,101-250
China,SJONO,9,251-500
China,Teepai,4,101-250
China,Jewellery Box,4,101-250
China,ZOCAI,11,251-500
China,Guojin Huangjin,14,1001-5000
China,Darry Ring,12,501-1000
China,Chow Tai Seng Jewellery,15,1001-5000
China,Hiersun Jewelry Co. Ltd.,23,251-500
China,Lao Feng xiang,174,1001-5000
China,Eastern Gold Jade,29,501-1000
China,Perfect Group,37,101-250
China,CSmall,5,101-250
China,Shenyang Cuihua Gold And Silver Jewelry,127,501-1000
China,Kingold Jewelry,20,501-1000
China,Leysen Jewellery,167,1001-5000
China,Beijing Kingee Culture Development,15,1001-5000
China,Guangdong CHJ Industry,26,5001-10000
China,Fujian Ideal Jewellery Industrial,21,501-1000
China,Gansu Guofang Industry & Trade (Group),26,1001-5000
China,Iceclout,117,101-250
China,Jaff,12,251-500
China,Star Harvest Jewelry,17,101-250
China,Fiyta Precision Technology,35,5001-10000
China,Yuexi,7,251-500
China,XUPING,12,501-1000
China,Zhejiang Ming Jewelry,35,501-1000
China,Gofu Gold,23,501-1000
China,"Rui-Feng Jewel Box Mfg Co., ltd",117,101-250
Japan,RECLO,8,10001+
Japan,QUEUE Japan,16,1-50
Japan,Kyoto University of the Arts,45,251-500
Japan,Adamant Namiki Precision Jewel,69,251-500
Japan,ABISTE CORPORATION,46,251-500
Japan,"The Kiss Co., Ltd.",27,251-500
Japan,Chugai Mining,90,51-100
Japan,Estelle,76,1001-5000
Japan,THE CLOCK HOUSE,51,501-1000
Japan,Yamano Holdings,48,1001-5000
Japan,Net Japan,27,251-500
Japan,CHANSON COSMETICS,76,251-500
Japan,Q-pot,20,101-250
Japan,Festaria,102,501-1000
Japan,Samantha Thavasa Japan,28,1001-5000
Japan,Asahi Holdings,70,1001-5000
Japan,Yondoshi,72,1001-5000
Japan,Sekido,22,101-250
Japan,Crossfor,35,51-100
Japan,Kiwa Seisakusho,47,251-500
Japan,Kyoto Kimono Yuzen,51,501-1000
Japan,Leange,11,51-100
Japan,Flex Farm,30,1-50
Japan,Kohsai,67,101-250
Japan,Verite,74,251-500
Japan,Loungedesigners,12,1-50
Japan,Nihon Network Support,66,251-500
Japan,Mokumeganeya,25,101-250
Japan,Best Amenity,32,101-250
Japan,Tsutsumi Jewelry,49,1001-5000
Japan,Kay Uno,41,501-1000
Japan,Tokuriki Honten,295,251-500
Japan,Diamdel,30,1-50
Japan,Tachibana,68,251-500
Japan,Mederu,14,1-50
Japan,Toho Watch,72,1-50
Japan,Fukuokakyushu-KUBOTA,58,501-1000
Japan,Clair Japan,32,1-50
Malaysia,PohKong,46,1001-5000
Malaysia,Poplook,13,101-250
Malaysia,ACE Group,11,1-50
Malaysia,Tomei Consolidated,54,51-100
Malaysia,Public Gold International,12,10001+
Malaysia,Auction2u,10,1-50
Malaysia,JEOEL,8,1-50
Saudi Arabia,Lazurde Company For Jewelry,42,51-100
Saudi Arabia,Azha,8,1-50
Saudi Arabia,AlMalki Group,70,1001-5000
Saudi Arabia,Fitaihi,58,1-50
Saudi Arabia,Sona Jewellers,38,251-500
Saudi Arabia,Abdulaziz Al Othaim & Sons,16,1-50
Saudi Arabia,Lustro,14,51-100
